Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
JS6345_2_trimunpaired	5.57103747989737	25.0	139.57404520176289	150	9.090909090909092	81457.0
JS6346_1_trimpaired	45.145508180576485	32.0	149.31972863384095	150	0.0	3718813.0
JS6346_1_trimunpaired	6.6077103772281305	33.0	142.8415365482935	150	18.181818181818183	36185.0
JS6346_2_trimpaired	42.68661691713821	32.0	148.76769711195482	150	0.0	3718813.0
JS6346_2_trimunpaired	6.474820143884898	34.0	137.73709727869877	150	18.181818181818183	6394.0
JS6347_1_trimpaired	29.140001927625647	28.0	149.0785638368563	150	9.090909090909092	40436938.0
JS6347_1_trimunpaired	6.28177196507275	28.0	142.52735533668738	150	9.090909090909092	244084.0
JS6347_2_trimpaired	23.904780518788456	28.0	148.65484354923214	150	9.090909090909092	40436938.0
JS6347_2_trimunpaired	5.576187339714394	26.0	138.63245371862607	150	18.181818181818183	71357.0
JS6348_1_trimpaired	28.40762768765265	52.0	149.0699320238601	150	9.090909090909092	4251786.0
JS6348_1_trimunpaired	8.856417338619863	54.0	139.6263197754711	150	18.181818181818183	22447.0
JS6348_2_trimpaired	27.73951923075937	52.0	149.36304955141205	150	9.090909090909092	4251786.0
JS6348_2_trimunpaired	13.158451449122069	56.0	144.16218884422818	150	18.181818181818183	14181.0
JS6349_1_trimpaired	31.668757465960056	28.0	148.96256058647074	150	0.0	42259022.0
JS6349_1_trimunpaired	5.250395949637678	28.0	142.36100913389527	150	9.090909090909092	238343.0
JS6349_2_trimpaired	29.47208112015116	28.0	148.75049926616853	150	0.0	42259022.0
JS6349_2_trimunpaired	7.645540277119224	27.0	141.746209367262	150	18.181818181818183	94905.0
JS6350_1_trimpaired	48.241604157269194	29.0	149.24595181892357	150	9.090909090909092	36177606.0
JS6350_1_trimunpaired	6.997335603888416	29.0	143.04618991681707	150	18.181818181818183	209418.0
JS6350_2_trimpaired	41.41890798759154	29.0	148.85348596587625	150	9.090909090909092	36177606.0
JS6350_2_trimunpaired	7.003603437124639	28.0	138.79499214635499	150	18.181818181818183	54115.0
JS6351_1_trimpaired	26.251185992521997	27.0	149.10013114106562	150	18.181818181818183	37731888.0
JS6351_1_trimunpaired	8.009212289539136	27.0	143.22370889218993	150	18.181818181818183	184454.0
